0,0,0,0,0,NaN,NaN
5.007543,8,259,0,54,0.00,3.09
10.01184,19,259,0,54,0.00,7.34
15.01755,33,259,0,54,0.00,12.74
20.02879,50,259,0,54,0.00,19.31
25.04247,57,259,0,54,0.00,22.01
30.0471,68,259,0,54,0.00,26.25
35.05405,79,259,0,54,0.00,30.50
40.06375,97,259,0,54,0.00,37.45
45.06421,109,259,0,54,0.00,42.08
50.07733,119,259,0,54,0.00,45.95
55.08312,135,259,0,54,0.00,52.12
60.09053,149,259,0,54,0.00,57.53
65.10515,171,259,0,54,0.00,66.02
70.11364,180,259,0,54,0.00,69.50
75.11459,193,259,0,54,0.00,74.52
80.11868,200,259,0,54,0.00,77.22
85.1292,210,259,0,54,0.00,81.08
90.14345,219,259,0,54,0.00,84.56
95.14984,228,259,0,54,0.00,88.03
100.1551,238,259,0,54,0.00,91.89
105.1737,243,259,0,54,0.00,93.82
110.1759,253,259,0,54,0.00,97.68
113.3749,259,259,0,54,0.00,100.00
